id,uid,positivenum,score,isphoto,term
1,1,11,5,0,天海新世纪号邮轮客服经理，您好。我是最近刚结束天海情人节行程的1095房客。我要为天海点个大大的赞??！服务意识，态度和行为都超级专业的团队。值得中国业界同行借鉴。建议在魔都剧场增放些电影。可以让参加不了太多剧烈新奇活动的老年人或宅人静静的也有个参与。比如好莱坞怀旧歌舞片啦，“雨中曲”等等脍炙人口的轻松经典。感谢天海团队！无论餐饮，客房服务等等都超级棒！一艘尊重百姓服务大众的好船
2,2,1,4.8,0,爸妈第一次出国，很放心，他们告诉我会很开心，我就心满意足了
3,3,4,4.9,0,服务非常好，不论走到哪都有外国朋友和我们主动打招呼，吃的也很好，我已坐过三次邮轮了，天海邮轮吃的是最适合我们中国人口味了，住的也很舒服，玩的也高兴，总之一切都好，下次还会选择天海新世纪
4,4,3,5,0,带爸妈一起，也是他们头一次走出国门，头一次看到大海，头一次看到国人的购买实力吓死人，呵呵，整个行程堪称养猪之旅，一直在吃，船上吃的不错，几天里面我没有吃腻，船上的节目也是不错的，每天都有不同的风格，船下形成选择了基本的跟团之旅，时间紧张，只能是走马观花了，基本是带你去购物点的，路上形成只能说凑活，不过这个性价比还是很高的，下次还会选择天海的
5,5,0,5,0,绝对没有辜负海上养猪场的称号，所有服务都要给一个大赞，一家四口很满意的旅行
6,6,0,4.3,1,整体都不错，就是在餐饮方面，自助餐的主食基本这6天都一样，西餐的龙虾和羊排都是没有味道的。
7,7,0,5,0,非常好，带老爸老妈去很轻松，下回有其他航线一定再去
8,8,0,4.8,0,总体可以的，以后还会选择邮轮旅游！
9,9,0,4.8,0,邮轮是亲子好选择但一次足矣天海性价比很高餐饮方面杠杠的玩乐属于一般哦三岁小孩的玩乐上面比较缺乏第一晚晕吐后面几天吃了药也有点习惯颠簸流离了
10,10,0,4.8,0,餐饮非常好，随时有餐，不用考虑饿的时候没有吃的。岸上游时间太紧张。
11,11,1,4.3,0,邮轮上的服务员都很好，态度不错，虽然娱乐设施少了点，下地时间也很赶，但毕竟邮轮没办法。船上吃的不错，住的也很干净，服务员一天打扫三次，唯一的缺点就是水质很差，漂白粉的味道，皮肤也过敏了！
12,12,0,5,0,带着两个孩子，不错的回忆，难得享受没有Wi-Fi的日子
13,13,1,5,1,非常不错的行程，船上的伙食很丰盛，娱乐活动搞得丰富精彩，服务人员服周到，以后还会再去
14,14,5,5,1,邮轮上无论是客房、餐厅，世殖∷、儿童乐园，服务人员都很热情、友好。参加邮轮游确实是一种享受。比较遗憾的是上下码头及通关的时间太长，码头上乱轰轰的。另岸上乘车时地接社的导游和我方的领队没有提醒游客应让带小孩的和年大的人先上车。有些不文明的现象。
15,15,0,4.3,0,游轮上的服务员态度都很好，只是岸上的活动太赶时间了。
16,16,0,5,1,完美邮轮游！携一家老小，邮轮上活动很丰富，吃得也很丰盛！吃得好玩得好！邮轮服务人员赞赞赞！
17,17,2,4.3,1,客房服务非常好很有善也很帮忙11楼吃的还挺多的柠檬水好喝
18,18,7,4.3,1,性格比最好的邮轮，适合带父母朋友，适合初次坐邮轮的朋友，如果最求高大上选择量子，选择美食和清净的可选择公主号，赛琳娜号表演也不错西餐地道。
19,19,8,4.5,1,天海邮轮对服务品质的追求的确很高，各国员工和睦协作的工作氛围令我印象深刻！同时，面对以国内游客为主的顾客行为习惯，还能有这样的耐心，真是不容易！要好好照顾员工们的心理健康啊！
20,20,0,5,0,非常满意
21,21,1,5,1,第一次坐邮轮，刚订单的时候看着网上评价，感觉挺不错。等自己上了游轮以后。在邮轮里边走走逛逛，看看，享受里面的美食和娱乐更不错。在一个没有网络的世界里有时候感觉这种度假才是真正的假期
22,22,6,5,0,邮轮服务很贴心，这次带孩子出行，每天服务员都会在房间里面用毛巾叠各种各样的卡通玩偶，孩子非常的喜欢，餐厅也很棒，中餐自助餐，品种非常的丰富，晚餐很精致，服务员态度也很好，和孩子做各种各样的游戏！行程安排比较紧凑，适合带老人孩子出行游玩！
23,23,5,4.3,1,价格实惠，餐饮好，crew热情友爱，有中文服务员，所以深得中老年的喜爱。唯一一点吐槽的，spa区域的土耳其浴是有男女混合时间段的，但管理并不严谨，希望对此设施的使用进行商榷。
24,24,0,3.8,0,吃吃喝喝，睡醒再吃。环境设施不错，服务较好，适合携父母辈可以比较舒服游玩。
25,25,0,3.5,0,带着老人孩子一起去，外国船员普遍很热情。天海邮轮太小基本没什么可玩游乐设施，系统分配的房间位子不好噪音太大，唯一觉得吃的还行。本人不是很挑剔的人，不推荐
26,26,0,3.8,0,陪老父老母还有家人，过春节。事实证明，选择还是正确的。希望下次还有机会再来。
27,27,0,3.5,1,不错的，非常舒服的旅行，好好，就是有人晕船，哈哈哈！好好好！开心
28,28,2,3.8,0,第一次乘邮轮出行，一次不错的邮轮体验游，各方面比较均衡。新世纪号上的配置等方面还不错。
29,29,11,3,0,邮轮上游乐设施比较少最后一天可能风浪大晃动的太厉害全家都晕船日本购物店的东西太坑完全是应对第一次出国门的游客的贵上岸后连吃饭的时间也没有直接拉购物点
30,30,3,3.8,0,餐饮品种不少，就是所有油炸食品太老了，饮料补充再快一点。牙膏牙刷居然真的是一次性的，就是只给一次，从来不坐游轮出游的也是惊呆了！
31,31,0,3,0,有差距
32,32,2,3.8,0,天海邮轮吃得的_不e，就是邮轮上活由倭说悖免店也没什么可逛的，毕竟船小了点，在公海上很多人都得难受。
33,33,3,3.8,1,食物和服务都不错！值得推荐！就是风浪大的时候，船晃得比较厉害！总体还是不错的！
34,34,7,3.5,0,邮轮上的吃角子老虎机太陈f了而且只吃不吐，实在没了兴趣！建议应该改善。
35,35,6,3.3,1,第二次坐天海，邮轮服务相对还是可以的。就是第二天一早真空马桶就不工作了，联系了客房服务，结果吃完了早餐回房还没弄过，再次致电才有人来弄，这个很不好。自助餐供应品种单调，浦江大饭店每日更换菜单，改良的中式西餐有点吃不惯～～不过浦江的服务生都很热情！
36,36,0,3,0,邮轮上吃的好，住的好，玩的好。适合小孩和老人，值得体验
37,37,0,3,0,不太好玩，虽然表面上的价格便宜，但是隐藏的消费太多
38,38,2,3.8,0,整体不错、适合一家老小游玩！
39,39,0,1,0,这次出去是最冤的，钱花了岸都没上的去。希望携程给个说法？
40,40,9,1,0,上船的时候给的理由是去过日本不允许登船，就没旅游成，票钱也没退，而且他们推卸责任，也不给解决，态度很不好
41,41,8,5,1,非常满意。船上服务都是按星级酒店的标准，每天两次打扫，很干净，你遇到的每一位船员都会很友好地用中文向你问好。你完全不必为自己听不懂英语而担扰，到处都能找到会说中文的船员。整个邮轮豪华大气、雍容华贵。每天都有第二天的活动内容的海报送到房间，如果你下载了天海邮轮的APP，你就可以尽情地享受丰富多彩的邮轮生活。邮轮上为游客们安排了众多的娱乐活动，无论你是男女老少，总有几款适合你：有天海好声音卡拉OK比赛、有鸡蛋降落伞比赛、有怀念邓丽君演唱会，有鼎级的厨师给你讲授如何做寿丝、有专业的舞蹈教练教你跳舞，甚至每天都有跳广场舞的安排。每晚魔都大剧院都有各种风格的精彩表演，娱乐总监在邮轮上绝对是超级明星，天海邮船上的游客肯定都是他的粉丝。天海邮轮上还有一个大大的亮点，那就是吃，有两个免费的主餐厅，你什么时候想吃都可以，尤其是浦江大饭店，是西餐馆，我们的晚餐都选择在那里，每天的菜单都不一样，有火鸡排、香橙鸭、小牛排，最后一晚可是龙虾大餐，大呼过瘾。如果你对吃文化还有更高层次的要求，你可以去巴黎餐厅等收费餐厅，那里会有米其淋三星的厨师专门为你服务。这次旅行，唯一有点遗憾的就是岸上行程安排地过紧，太过行色匆匆。总之，天海邮轮上的6天5晚的生活，很惬意，我们还会再来。
42,42,7,4.5,0,第一次坐邮轮，带着老人小孩，感觉邮轮比较适合。吃饭11楼除了晚上10:30以后几乎时时都有，自助餐，老人比较喜欢，5楼浦江饭店西餐老人不大会吃，除了最后一天有龙虾羊排，吃得很尽兴，一般都在11楼用餐。饮料畅喝。孩子玩的地方很少，活得也不够丰富，岸上行程不适合老人小孩，就是购物，免税店。济州岛我爸妈和孩子都没上岸，就待船上了。总体感觉不错，父母一直想着再坐次邮轮。想着下次体验一下量子。
43,43,13,4.5,0,替父母订的，他们刚坐了海洋量子号，这次也没抱太大的期望，毕竟船小多了，价格也便宜许多。但他们觉得很满意，尤其是餐饮，好吃还方便，不像量子号淡而无味，其实六天在船上，吃得好还是很重要的。其他服务秩序等也很好，反正他们觉得物超所值。
44,44,15,5,0,天海邮轮不算很大很豪华，但是实在。吃得好，有畅开吃的自助餐，也有正宗的西餐点餐，特别是自助餐里的水果全是时鲜高档货，品种多，味道美，好吃！文体活动丰富多样，好玩！好看！天海用实实在在的一流服务赢得人的的好口碑。给人留下美好难忘的记忆。那天离开日本长崎古登保市时，市长亲率民间艺术团欢送我们，在长达一小时之多的演出中，以谢谢、再见、seeyouagain为中心的表演，以及邮轮启航，日本人冲上码头呼喊再见，沙一喔那拉长久回响，振撼了我的心！天海是携程自己买的，国际知名团队管理的邮轮。一次玩不够，只要累了想放松想休养，我还会上天海。同时我也将天海介绍给我的亲朋好友，让他们一起分享天海的优质服务，天海特别适合老年人和小明友一起的居家游。建议：在日本上岸后坐大巴时，日本人没备免费瓶水，要让我备零钱去自助机购买，很不方便。希望下不为例。
45,45,22,5,0,第一次坐邮轮旅游，觉得很开心，船上的饮食娱乐服务都安排的井井有条，管家服务也很贴心，岸上行程除了时间有些紧，其他都还满意。值得一提的是鹿儿岛的行程全天的景点观光，无购物，实在难得。旅行七天，休息得也非常好，海上巡游一点也不无聊，反而觉得能让自己忙碌的心放松下来，享受难得的海天一色，总之非常满意！
46,46,29,2.8,0,服务真的无法和皇家和公主比～老外都很热情～但中国船员实在不敢恭维～餐饮比较单调～而且竟然不是24小时的，住宿是唯一让我比较满意的～玩乐方面实在太少了～不过免税店要赞一个～品种多～价格公道
47,47,0,1,0,服务人员态度较差，特别是中文服务人员更差。餐饮品种少，全天候开放的餐厅只有一个，没有选择余地，菜品味道也相当不好，设施较差，总之不会再选择天海邮轮了。
48,48,0,2.3,0,只能说是一般，或者说基本满意！
49,49,0,2.3,0,船太小，颠簸。旅游就是购物。再也不去
50,50,0,1,0,一塌糊涂，骗子游轮！
51,51,2,2.5,0,坐了九天的邮轮，好漫长啊，船上服务还行，餐饮一般，就这些食物轮流换，每晚的魔都剧场演出很精彩，另外，有几天船开得有点快，我们都晕船了。。。表扬一下岸上活动不错，何导和地接导游朴导很负责热心，讲解清楚，天气炎热，朴导自己准备了冰宝贴和防晒霜给游客，服务不错。
52,52,4,1.5,0,极其糟糕的一次旅行，出发之前台风浪卡已经形成，忽悠我们上船后第二天以台风为借口通知我们取消神户转去有中东综合症潜在危险的济州岛，为自己的利益枉顾旅客健康安全，鹿儿岛领队跟导游还把我们带去一个叫魔猿城的购物点里面的东西比外面普通商店贵了2倍，我们跟携程签订的行程只有自由行根本没购物，船上设施陈旧，儿童蹦床维修不开放，饮食单一只能管饱，客舱还是比较干净、服务一般。
53,53,7,2.5,0,服务：大部分特别是浦江的员工都非常热情，偶尔也碰到语言带刺的。比方消防演习的时候，问了电梯扣一个女服务员具体地点，下意识要坐电梯，她竟然口气嘲讽的说“一层楼也要坐电梯吗，现在不能坐”。餐饮：自助餐，食物供应和就餐人数有点不匹配，大排长龙，应该分流，后面两天分流到浦江，就好些了。大多数是菲籍服务员，很多阿姨叔叔都无法沟通。住宿及其他设施：旧船，比较陈旧。被子好多污渍，后面两天马桶每天都要保修，无法冲水，剧场的座位也很脏，既然装修，也该彻底一些，成本是要考虑，可是客人都以新船的心态去坐的。岸上行程：实在太赶，药妆店逗留太久，虽然和客人素质有关，但是行程太赶也是一部分因素，组织者应该更多的考虑，搞得大家都怨声载道，最后的博多运河城才40分钟。
54,54,1,3,0,还可以，主要是体验邮轮生活，有机会还是坐飞机深度游的好。。。
55,55,3,3.3,0,除了法餐餐厅，其他餐厅都是中不中西不西的味道！牛排吃起来像橡胶，火锅肉片厚的像砖头。基础服务生比中高层好，尤其是那个什么娱乐总监李什么的，跟死老爸一样。赌场最低下注太高，赌桌基本空置，和庄家一对一好玩吗？
56,56,7,3.8,1,这是我第五次乘邮轮去日韩游了，也是第二次重登天海新世纪邮轮，这次组团带了12人出游，大家玩的很开心，只是原来自助餐厅很棒的寿司巳不见了。但凭心而论，物价的上涨调整食材还是可以理解的。船长酒会依然不错的
57,57,0,3.5,0,领队什么问题都不能解决，毫无担当；食物一般；住宿一般，不过客房打扫人员不错。
58,58,0,3.5,0,摇摆太厉害，船内饮食、活动还不错，但到了岸上的时候行程时间太赶，都是购物点。
59,59,0,3.5,1,还行
60,60,1,3.5,0,整体还不错，就是岸上活动感觉实在不乐观。比较喜欢船上的活动。
61,61,1,3.5,0,邮轮上的娱乐节目以及餐饮安排与之前参加的歌诗达邮轮无法相比，差距不是一点，希望可以提升。
62,62,3,3.8,0,客房里的沙发晚上拉平后，让第三位游客睡觉，但是这个沙发床底下的弹簧已经松了，床垫又薄，床的横档突出，横在的腰上，一晚上没睡好，第二天和服务中心反馈后，服务人员来加了块板，这才睡踏实了，看了看这块板比较旧了，肯定不是第一次发生这样的情况，为游客服务应该再细致些，改换的设备还是要换！
63,63,4,3.8,1,邮轮十分的大，本来查好天气说会有雨，结果是阴天。船上游乐项目比较多。船上主要以老年人为主，基本的游乐项目足够玩了！韩国落地后没什么好玩的，还是去日本玩的地方比较多！
64,64,3,3.8,0,客房服务礼貌，勤快，认真，水准五星级。餐厅服务员热情接待，礼貌待人，服务水准超五星级标准。
65,65,8,3.5,1,邮轮还算不错，餐饮不错，岸上活动相当不好！感觉就是应付！邮轮如果不提升岸上观光质量，只是一味购物及走马观花，将来不会再去！
66,66,0,3.8,0,岸上游太差劲了
67,67,2,3.8,0,服务挺热情，住宿也不错，餐饮比较好，吃的比较丰盛，非常不错的旅程
68,68,3,3.5,0,很不错的邮轮之行船上食物很丰富服务员也很NICE不如人意的是遇到台风改变了行程到出发前一天才通知另外在船上免税店购物多刷了我一次钱到现在都没解决对船上免税店的服务真是无语了
69,69,4,3.5,1,因为台风更改了邮轮航线没有去日本，邮轮上房间偏小但设备齐全，房间里的洗澡水没有之前评论上说的水颜色泛黄！在阳台吹着海风看着日落很惬意，如果放个摇摇椅会更好。房间每天有服务员打扫两次，但不会定期更换毛巾浴巾；每天都有很多节目但是好玩有趣的不多，个人比较喜欢跳舞类和歌唱类的节目，建议多些电影场次；可选择的食物的种类较多，浦江饭店的炒虾仁很赞；服务还是比较满意的，领队也很不错！
70,70,3,3.8,0,邮轮上的服务还是不错的，比其他邮轮多了一些中国人，方便交流。邮轮上的饮食还是比较适合中国人的口味，娱乐活动可能受邮轮小的限制，比其他邮轮少了一些。我订的是套房，船上房间内电话不好用，空调温度没法调，晚上冷，设备不怎么样。
71,71,0,3.8,0,到岸上的行程很无趣，尤其是在韩国。导游比较不错。希望能改进在岸上的行程。
72,72,15,3.5,1,邮轮上的水有很重的消毒水的味道，而且餐食非常的不好，存在剩菜回收隔顿利用，重新给游客吃。食材都出现了变味的情况。毕竟是中国大陆的油轮公司，如果大家在选择油轮旅行的时候千万不要选择天海油轮，而是选一些大品牌的邮轮公司，服务有保障。
73,73,9,3.8,0,自身的设施和服务还是比较满意的，航行比较稳定故舒适度较好，娱乐设施也比较齐全。餐饮方面自助餐和西餐很不错，但在控制人流和应对大客流上没有很好预案，现场比较混乱，食物也不充足造成花了时间排队也拿不到食物，客人不满度较高。
74,74,1,3.5,0,此游轮设施比较老旧，但是船上服务员还是很不错的，自助餐品种不够丰富，没有特色，船上娱乐活动不多
75,75,0,3.8,0,餐饮种类较少，住宿的话还行，不是很吵，娱乐节目就比较少了，毕竟船不是很大
76,76,0,3.8,0,邮轮上的服务员都很客气，态度非常亲和，吃的东西每天都差不多，不过味道还可以，房间很精致，打扫很干净
77,77,0,3.8,0,整体不错
78,78,0,3.5,0,人太多
79,79,0,3.3,0,介绍的套房礼遇严重缩水，餐厅用餐时间公布的有误差，迟到了5分钟，就不能用餐
80,80,0,3.3,0,设施有点旧，玩了部分没啥新意
81,81,0,3.8,1,总体说来，还是不错的，大部分邮轮服务的态度很好，尤其是外籍服务人员，但是部分中国的服务人员就没有那么好的耐心了，丽都餐厅的饮食不是那么让人满意，吃来吃去就那么几种，好几天都没有面条，浦江大饭店不错，三人间房间比较宽敞，床垫也很舒适，邮轮上的玩乐很丰富。
82,82,1,3.8,1,服务还可以餐饮一般吧不是很合我的口味可能个人口味不同住宿还可以干净冷气足玩乐方面小朋友还可以成人会觉得无聊
83,83,0,3.5,0,房间漏水下船时间太赶整体服务不错个别有两个服务员态度很差
84,84,0,3.8,0,服务还可以大部分的都不错个别几个服务员比较讨人厌这次一行10个人5个房间有2个漏水了不满意
85,85,1,3.3,1,基本比较满意，但是岸上活动实在不行，去一个很烂的景点，马上到免税店，时间很紧，来不及看，虽说是赠送的岸上游，但也要玩的好一点，希望以后有所改变！
86,86,2,4.8,1,船上整体不错，娱乐餐饮都很充足，船员友善乐于助人，不过有些设施要好好维护一下了。
87,87,8,5,0,赠送了一瓶香槟，意外之喜。
88,88,5,5,0,满满的行程发个开心…每次出去都会觉得在携程上预订太完美，太完美
89,89,5,5,0,第二次来了，带父母一起来过情人节，海景房也不错。还送了香槟呢。岸上行程选择付费的还是不错的，有吃有喝，很好。吃吃喝喝又肥了一大圈。真的不错的行程。要是在山东有上船的行程就好了
90,90,4,4,0,自助餐厅品种丰富，口味符合；主餐厅菜式漂亮，但不能刻意追求味道。娱乐活动丰富。总体感觉邮轮游不错，适合对景点要求不高的游客
91,91,2,5,0,很好的游轮，适合年纪大的人。我奶奶90多岁玩的很开心！希望下次还能全家出游！
92,92,3,4.5,0,总体还是非常不错的，邮轮上的餐饮果然名不虚传，自助餐品种多，味道不错！就是到目的地后时间太赶玩的不够尽兴。到日本时间赶的从中午到晚上一直没有吃过饭，车程太远
93,93,0,5,1,非常棒，除了分批晚餐比较不爽，开心的假期
94,94,0,4,0,还行吧，适合度假
95,95,0,5,0,邮轮上设施十分完善，食物品种丰富味道可口，所有的服务人员都十分和蔼可亲有问必答。
96,96,0,5,0,不错天海邮轮【新世纪号】上海上船济州+佐世保5日游价格实惠。
97,97,0,5,0,邮轮绝对好评，还上养猪场名不虚传
98,98,1,5,1,带女儿出游很开心美好的旅程暑假一点还有带女儿去！！！！
99,99,0,5,0,娱乐设施较少吃的比较多B线在日本中午自助烤肉还不错购物也是当地人去的地方
100,100,0,5,0,这次的单子下错了，客服帮助修改要表扬！母亲说船有点晕，父亲很满意！
