term,class
出关,岸上活动
公园,岸上活动
游览,岸上活动
免税店,岸上活动
行程,岸上活动
船下,岸上活动
购物点,岸上活动
航线,岸上活动
岸上游,岸上活动
下地,岸上活动
码头,岸上活动
岸上,岸上活动
导游,岸上活动
上车,岸上活动
岸上活动,岸上活动
购物,岸上活动
上岸,岸上活动
上码头,岸上活动
观光,岸上活动
魔猿城,岸上活动
自由行,岸上活动
药妆店,岸上活动
落地,岸上活动
车程,岸上活动
当地人,岸上活动
饮食,餐饮
咖啡,餐饮
面包,餐饮
牛奶,餐饮
夜宵,餐饮
披萨,餐饮
餐饮,餐饮
吃,餐饮
口味,餐饮
自助餐,餐饮
主食,餐饮
西餐,餐饮
龙虾,餐饮
羊排,餐饮
味道,餐饮
水质,餐饮
伙食,餐饮
餐厅,餐饮
柠檬水,餐饮
美食,餐饮
中餐,餐饮
晚餐,餐饮
吃吃喝喝,餐饮
吃饭,餐饮
食品,餐饮
饮料,餐饮
早餐,餐饮
菜单,餐饮
厨师,餐饮
餐馆,餐饮
火鸡,餐饮
香橙,餐饮
鸭,餐饮
牛排,餐饮
大餐,餐饮
饭店,餐饮
用餐,餐饮
畅喝,餐饮
好吃,餐饮
淡而无味,餐饮
水果,餐饮
瓶水,餐饮
就餐,餐饮
法餐,餐饮
火锅,餐饮
自助餐厅,餐饮
寿司,餐饮
酒会,餐饮
虾仁,餐饮
餐食,餐饮
面条,餐饮
菜式,餐饮
烤肉,餐饮
服务,服务
服务员,服务
态度,服务
前台,服务
客服,服务
经理,服务
服务意识,服务
团队,服务
服务人员,服务
服务生,服务
热情,服务
打扫,服务
船员,服务
大排长龙,服务
服务中心,服务
排队,服务
礼遇,服务
歌厅,玩乐
船上活动,玩乐
舞蹈,玩乐
赌场,玩乐
剧场,玩乐
电影,玩乐
活动,玩乐
歌舞片,玩乐
节目,玩乐
玩乐,玩乐
娱乐,玩乐
世,玩乐
场所,玩乐
儿童乐园,玩乐
游戏,玩乐
游乐,玩乐
游乐设施,玩乐
活,玩乐
免店,玩乐
老虎机,玩乐
消费,玩乐
游玩,玩乐
比赛,玩乐
演唱会,玩乐
跳舞,玩乐
剧院,玩乐
表演,玩乐
民间艺术团,玩乐
演出,玩乐
赌桌,玩乐
庄家,玩乐
歌唱,玩乐
床单,住宿
沙发,住宿
电视,住宿
电器,住宿
房客,住宿
设施,住宿
干净,住宿
客房,住宿
房间,住宿
毛巾,住宿
环境,住宿
噪音,住宿
牙膏,住宿
牙刷,住宿
马桶,住宿
住宿,住宿
客舱,住宿
电梯,住宿
装修,住宿
沙发床,住宿
床垫,住宿
设备,住宿
洗澡水,住宿
阳台,住宿
浴巾,住宿
套房,住宿
电话,住宿
空调,住宿
三人间,住宿
冷气,住宿
海景房,住宿
